code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
103B,AUTO / UTIL,AUDI ,A3 8P,,1.9TDI,105,145,40,43,3200,240,340,1,1,1,0,1,0,1,0,1,0,0,TD1,16900,16900,10900,2725,15900,7950,5070,5070,3270,817.5,4770,2385,10,x,https://dataracing.com.ar/cars/volkswagen-bora-1-9tdi-105-hp/
106,AUTO / UTIL,AUDI ,A3 8P,,2.0TDI PD,140,170,30,32,3600,320,410,1,1,1,0,1,0,1,0,1,1,0,TD1,16900,16900,10900,2725,15900,7950,5070,5070,3270,817.5,4770,2385,62,2,https://dataracing.com.ar/cars/vw-vento-5-2-0tdi-pd-140-hp/
104,AUTO / UTIL,AUDI ,A3 8P,,2.0TFSI,200,250,50,53,4300,280,377,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,93,64,https://dataracing.com.ar/cars/vw-vento-5-2-0tfsi-200-hp/
127,AUTO / UTIL,AUDI ,A3 8P,,2.0TDI CR,140,180,40,42,4100,321,380,1,1,1,0,1,0,1,0,0,1,0,TD2,19900,19900,11900,2975,17900,8950,5970,5970,3570,892.5,5370,2685,399,1165 269,https://dataracing.com.ar/cars/vw-vento-mk6-2-0tdi-cr-140-hp/
105,AUTO / UTIL,AUDI ,A3 8P,,2.0TSI,211,265,54,93,4700,290,440,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,203,128,https://dataracing.com.ar/cars/vw-golf-6-2-0tsi-211-hp/
108,AUTO / UTIL,AUDI ,A3 8P,,1.8TSI,160,218,50,64,4200,256,368,1,1,1,1,1,1,0,0,1,1,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,203,128,https://dataracing.com.ar/cars/audi-a3-8p-1-8tfsi-160-hp/
109,AUTO / UTIL,AUDI,A3 8P,,1.4TFSI,125,150,25,32,3300,209,280,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,203,128,https://dataracing.com.ar/cars/audi-a3-8v-1-4t-ea-211-hp/
114,AUTO / UTIL,AUDI,A3 8P,,3.2 V6,250,270,20,20,6200,318,340,1,1,1,1,1,1,0,0,1,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,120,52,https://dataracing.com.ar/cars/audi-tt-mk-2-3-2-v6-250-hp/
126,AUTO / UTIL,AUDI,A3 8V,,1.4T EA211,125,162,37,38,4900,202,262,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,465,1321 179,https://dataracing.com.ar/cars/audi-a1-1-4t-ea211-122-hp/
119A,AUTO / UTIL,AUDI,A3 8V,,1.4TSI EA211,150,175,25,39,3800,250,311,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,477,1323 725,https://dataracing.com.ar/cars/vw-golf-7-1-4tsi-150-hp/
